Wavelength	Transit Depth
(meters)	(percent)
3.416395e-07	1.800011e-04
3.419806e-07	1.797236e-04
3.423221e-07	1.794463e-04
3.426639e-07	1.791692e-04
3.430061e-07	1.788924e-04
3.433486e-07	1.786158e-04
3.436914e-07	1.783395e-04
3.440346e-07	1.780633e-04
3.443781e-07	1.777875e-04
3.447220e-07	1.775118e-04
3.450662e-07	1.772364e-04
3.454108e-07	1.769612e-04
3.457557e-07	1.766863e-04
3.461010e-07	1.764115e-04
3.464466e-07	1.761371e-04
3.467925e-07	1.758629e-04
3.471388e-07	1.755889e-04
3.474854e-07	1.753151e-04
3.478324e-07	1.750416e-04
3.481797e-07	1.747684e-04
3.485274e-07	1.744953e-04
3.488754e-07	1.742225e-04
3.492238e-07	1.739499e-04
3.495725e-07	1.736776e-04
3.499215e-07	1.734056e-04
3.502709e-07	1.731337e-04
3.506207e-07	1.728621e-04
3.509708e-07	1.725907e-04
3.513213e-07	1.723196e-04
3.516721e-07	1.720487e-04
3.520232e-07	1.717781e-04
3.523747e-07	1.715077e-04
3.527266e-07	1.712375e-04
3.530788e-07	1.709676e-04
3.534314e-07	1.706979e-04
3.537843e-07	1.704285e-04
3.541376e-07	1.701593e-04
3.544912e-07	1.698903e-04
3.548451e-07	1.696217e-04
3.551995e-07	1.693531e-04
3.555542e-07	1.690849e-04
3.559092e-07	1.688172e-04
3.562646e-07	1.685492e-04
3.566203e-07	1.682817e-04
3.569764e-07	1.680145e-04
3.573329e-07	1.677474e-04
3.576897e-07	1.674807e-04
3.580468e-07	1.672142e-04
3.584044e-07	1.669479e-04
3.587622e-07	1.666819e-04
3.591205e-07	1.664161e-04
3.594791e-07	1.661505e-04
3.598380e-07	1.658853e-04
3.601973e-07	1.656204e-04
3.605570e-07	1.653575e-04
3.609170e-07	1.650909e-04
3.612774e-07	1.648266e-04
3.616382e-07	1.645625e-04
3.619993e-07	1.642987e-04
3.623608e-07	1.640353e-04
3.627226e-07	1.637718e-04
3.630848e-07	1.635087e-04
3.634473e-07	1.632460e-04
3.638103e-07	1.629833e-04
3.641735e-07	1.627211e-04
3.645372e-07	1.624590e-04
3.649012e-07	1.621972e-04
3.652655e-07	1.619356e-04
3.656303e-07	1.616743e-04
3.659954e-07	1.614132e-04
3.663608e-07	1.611525e-04
3.667267e-07	1.608918e-04
