Wavelength	Transit Depth
(meters)	(percent)
3.256588e-07	1.136839e-02
3.259840e-07	1.136488e-02
3.263095e-07	1.136137e-02
3.266353e-07	1.135786e-02
3.269615e-07	1.135435e-02
3.272879e-07	1.135084e-02
3.276147e-07	1.134733e-02
3.279419e-07	1.134383e-02
3.282693e-07	1.134032e-02
3.285971e-07	1.133681e-02
3.289253e-07	1.133330e-02
3.292537e-07	1.132980e-02
3.295825e-07	1.132629e-02
3.299116e-07	1.132279e-02
3.302410e-07	1.131929e-02
3.305708e-07	1.131578e-02
3.309008e-07	1.131228e-02
3.312313e-07	1.130878e-02
3.315620e-07	1.130527e-02
3.318931e-07	1.130177e-02
3.322245e-07	1.129827e-02
3.325562e-07	1.129477e-02
3.328883e-07	1.129127e-02
3.332207e-07	1.128777e-02
3.335534e-07	1.128427e-02
3.338865e-07	1.128077e-02
3.342199e-07	1.127728e-02
3.345536e-07	1.127378e-02
3.348877e-07	1.127028e-02
3.352221e-07	1.126679e-02
3.355568e-07	1.126329e-02
3.358919e-07	1.125980e-02
3.362273e-07	1.125630e-02
3.365630e-07	1.125281e-02
3.368991e-07	1.124931e-02
3.372355e-07	1.124582e-02
3.375722e-07	1.124233e-02
3.379093e-07	1.123884e-02
3.382467e-07	1.123535e-02
3.385845e-07	1.123185e-02
3.389226e-07	1.122836e-02
3.392610e-07	1.122487e-02
3.395998e-07	1.122139e-02
3.399389e-07	1.121790e-02
3.402783e-07	1.121441e-02
3.406181e-07	1.121092e-02
3.409582e-07	1.120743e-02
3.412987e-07	1.120395e-02
3.416395e-07	1.120046e-02
3.419806e-07	1.119698e-02
3.423221e-07	1.119349e-02
3.426639e-07	1.119001e-02
3.430061e-07	1.118652e-02
3.433486e-07	1.118304e-02
3.436914e-07	1.117956e-02
3.440346e-07	1.117607e-02
3.443781e-07	1.117259e-02
3.447220e-07	1.116911e-02
3.450662e-07	1.116563e-02
3.454108e-07	1.116215e-02
3.457557e-07	1.115867e-02
3.461010e-07	1.115519e-02
3.464466e-07	1.115171e-02
3.467925e-07	1.114824e-02
3.471388e-07	1.114476e-02
3.474854e-07	1.114128e-02
3.478324e-07	1.113781e-02
3.481797e-07	1.113433e-02
3.485274e-07	1.113085e-02
3.488754e-07	1.112738e-02
3.492238e-07	1.112391e-02
3.495725e-07	1.112043e-02
3.499215e-07	1.111696e-02
3.502709e-07	1.111414e-02
3.506207e-07	1.111065e-02
3.509708e-07	1.110715e-02
3.513213e-07	1.110366e-02
3.516721e-07	1.110017e-02
3.520232e-07	1.109669e-02
3.523747e-07	1.109320e-02
3.527266e-07	1.108972e-02
3.530788e-07	1.108624e-02
3.534314e-07	1.108276e-02
3.537843e-07	1.107928e-02
3.541376e-07	1.107580e-02
3.544912e-07	1.107232e-02
3.548451e-07	1.106884e-02
3.551995e-07	1.106537e-02
3.555542e-07	1.106189e-02
3.559092e-07	1.105842e-02
3.562646e-07	1.105495e-02
3.566203e-07	1.105148e-02
3.569764e-07	1.104800e-02
3.573329e-07	1.104453e-02
3.576897e-07	1.104107e-02
